Id,Title,Description,Price,Vendor Code,Availability,Categories,Images,Attributes
211878,Клатч M1226 black,Клатч для повседневного использования.,340,(24)(1.3.2.1) Клатч M1226 black,true,Сумки через плечо|Натуральная замша,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7231.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7232.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7233.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7234.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7248.jpg,"Материал:| кожзам, натуральная замша#Размеры:| высота 15 см, ширина 22 см, дно 8 см#Внешние карманы:| есть (спереди и сзади)#Длинная ручка:| есть#Цвет фурнитуры:| серебро#Отделения:| одно#Примечание:|#Цвет|Черный#Материал|Кожзаменитель, Натуральная замша"
211873,Клатч M1163 black,Клатч для повседневного использования.,340,(24)(1.3.2.2) Клатч M1163 black,true,Сумки через плечо|Натуральная замша,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7227.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7228.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7229.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7230.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7247.jpg,"Материал:| кожзам, натуральная замша#Размеры:| высота 17 см, ширина 22 см, дно 7 см#Внешние карманы:| есть (сзади)#Длинная ручка:| есть#Цвет фурнитуры:| серебро#Отделения:| одно#Примечание:|#Цвет|Черный#Материал|Кожзаменитель, Натуральная замша"
211856,Клатч M1166 black,Клатч для повседневного использования.,340,(24)(1.3.2.1) Клатч M1166 black,true,Сумки через плечо|Натуральная замша,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7223.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7224.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7225.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7226.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7246.jpg,"Материал:| кожзам, натуральная замша#Размеры:| высота 17 см, ширина 21 см, дно 9 см#Внешние карманы:| есть (сзади)#Длинная ручка:| есть#Цвет фурнитуры:| серебро#Отделения:| одно#Примечание:|#Цвет|Черный#Материал|Кожзаменитель, Натуральная замша"
211865,Клатч M1167 black,Клатч для повседневного использования.,340,(24)(1.3.2.3) Клатч M1167 black,true,Сумки через плечо|Натуральная замша,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7219.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7220.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7221.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7222.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7245.jpg,"Материал:| кожзам, натуральная замша#Размеры:| высота 16 см, ширина 19 см, дно 8 см#Внешние карманы:| есть (сзади)#Длинная ручка:| есть#Цвет фурнитуры:| серебро#Отделения:| три#Примечание:|#Цвет|Черный#Материал|Кожзаменитель, Натуральная замша"
211848,Клатч M1206 black,Клатч для повседневного использования.,340,(24)(1.1.2.2) Клатч M1206 black,true,Сумки через плечо|Натуральная замша,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7215.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7216.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7217.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7218.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7243.jpg,"Материал:| кожзам, натуральная замша#Размеры:| высота 16 см, ширина 21 см, дно 8 см#Внешние карманы:| есть (спереди и сзади)#Длинная ручка:| есть#Цвет фурнитуры:| черный#Отделения:| одно#Примечание:| кисточка съемная#Цвет|Черный#Материал|Кожзаменитель, Натуральная замша"
211847,Клатч Y8043 black,Клатч для повседневного использования.,330,(24)(1.1.2.2) Клатч Y8043 black,true,Копии брендов|Сумки через плечо,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7210.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7212.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7213.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7214.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7242.jpg,"Материал:| кожзам#Размеры:| высота 14 см, ширина 23 см, дно 6.5 см#Внешние карманы:| нет#Длинная ручка:| есть#Цвет фурнитуры:| черный#Отделения:| одно#Примечание:| цепочка пластиковая#Цвет|Черный#Материал|Кожзаменитель"
211845,Клатч Y8024 black,Клатч для повседневного использования.,330,(24)(1.1.2.2) Клатч Y8024 black,true,Копии брендов|Сумки через плечо,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7200.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7201.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7202.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7203.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7238.jpg,"Материал:| кожзам#Размеры:| высота 15 см, ширина 20 см, дно 6 см#Внешние карманы:| нет#Длинная ручка:| есть#Цвет фурнитуры:| черный#Отделения:| одно#Примечание:| ремешок текстильный#Цвет|Черный#Материал|Кожзаменитель"
211844,Сумка B6022 black,,370,(24)(1.1.1.2) Сумка B6022 black,true,Сумки классические,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7195.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7196.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7197.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7198.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7237.jpg,"Материал:| текстиль#Размеры:| высота 19 см, ширина 28.5 см, дно 11 см#Высота ручек:| 9 см#Внешние карманы:| нет#Длинная ручка:| есть#Цвет фурнитуры:| серебро#Отделения:| одно#Примечание:| закрывается на кнопку, внутри есть фирменная нашивка#Цвет|Серый, Черный#Материал|Синтетическая ткань"
211843,Сумка A-2056 black,,350,(24)(1.3.2.3) Сумка A-2056 black,true,Сумки классические,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7187.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7188.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7189.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7193.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7235.jpg,"Материал:| текстиль (плащевка), вставки из кожзама#Размеры:| высота 31 см, ширина 31-42 см, дно 15 см#Высота ручек:| 24 см#Внешние карманы:| есть#Длинная ручка:| нет#Цвет фурнитуры:| черный#Отделения:| одно#Примечание:| мягкая сумка#Цвет|Черный#Материал|Синтетическая ткань"
211842,Сумка A-2056 grey,,350,(24)(1.3.2.3) Сумка A-2056 grey,true,Сумки классические,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7181.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7182.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7183.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7184.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7235.jpg,"Материал:| текстиль (плащевка), вставки из кожзама#Размеры:| высота 31 см, ширина 31-42 см, дно 15 см#Высота ручек:| 24 см#Внешние карманы:| есть#Длинная ручка:| нет#Цвет фурнитуры:| черный#Отделения:| одно#Примечание:| мягкая сумка#Цвет|Серебристый, Серый#Материал|Синтетическая ткань"
