Id,Title,Description,Price,Vendor Code,Availability,Categories,Images,Attributes
211328,Клатч 22# brown,Клатч для повседневного использования.,312,(24)(1.2.1.2) Клатч 22# brown,true,1|2|3,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7004.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7005.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7006.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7007.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7012.jpg,1|1#2|2#3|3#4|4#5|5#6|6#7|7#8|8#9|9#10|10
211327,Клатч 22# blue,Клатч для повседневного использования.,312,(24)(1.2.1.2) Клатч 22# blue,true,1|2|3,https://clutches.com.ua/wp-content/uploads/2020/10/DSC7000.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7001.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7002.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7003.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7012.jpg,1|1#2|2#3|3#4|4#5|5#6|6#7|7#8|11#9|9#10|10
211326,Клатч 22# red,Клатч для повседневного использования.,312,(24)(1.2.1.2) Клатч 22# red,true,1|2|3,https://clutches.com.ua/wp-content/uploads/2020/10/DSC6994.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6996.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6998.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6999.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7012.jpg,1|1#2|2#3|3#4|4#5|5#6|6#7|7#8|12#9|9#10|10
211325,Клатч David Jones 6217-1T black,Клатч для повседневного использования.,489,(23)(1.1.1.1) Клатч David Jones 6217-1T black,true,2|4|5,https://clutches.com.ua/wp-content/uploads/2020/10/DSC6989.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6990.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6991.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6993.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7010.jpg,1|13#2|14#3|15#4|15#5|5#6|16#7|17#8|18#9|19#10|20
211324,Женская сумка David Jones 6416-1T black,Женская сумка выполненная из кожзама.,515,(23)(1.2.2.3) Женская сумка David Jones 6416-1T black,true,6|5,https://clutches.com.ua/wp-content/uploads/2020/10/DSC6984.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6986.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6987.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6988.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7009.jpg,1|13#2|21#11|22#6|23#3|24#4|15#5|5#7|25#8|18#10|20#9|19
211323,Женская сумка David Jones CM5868T black,Женская сумка выполненная из кожзама.,620,(23)(1.3.1.3) Женская сумка David Jones CM5868T black,true,6|5,https://clutches.com.ua/wp-content/uploads/2020/10/DSC6978.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6980.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6982.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6983.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7008.jpg,1|13#2|26#11|27#6|16#3|24#4|15#5|5#7|25#8|18#10|20#9|19
211322,Женская сумка David Jones CM5868T pink,Женская сумка выполненная из кожзама.,620,(23)(1.3.1.3) Женская сумка David Jones CM5868T pink,true,6|5,https://clutches.com.ua/wp-content/uploads/2020/10/DSC6972.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6973.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6975.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6976.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC7008.jpg,1|13#2|26#11|27#6|16#3|24#4|15#5|5#7|25#8|28#10|20#9|19
211025,Женская сумка David Jones 6410-2T black grey,Женская сумка выполненная из кожзама.,515,(23)(1.3.1.1) Женская сумка David Jones 6410-2T black grey,true,6|5,https://clutches.com.ua/wp-content/uploads/2020/10/DSC6919.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6920.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6921.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6922.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6924.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6923.jpg,1|13#2|29#11|22#6|6#3|30#4|15#5|5#7|25#8|31#10|20#9|19
211024,Женская сумка David Jones 6410-2T peacock blue,Женская сумка выполненная из кожзама.,515,(23)(1.3.1.1) Женская сумка David Jones 6410-2T peacock blue,true,6|5,https://clutches.com.ua/wp-content/uploads/2020/10/DSC6915.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6916.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6917.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6918.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6923.jpg|https://clutches.com.ua/wp-content/uploads/2020/10/DSC6924.jpg,1|13#2|29#11|22#6|6#3|30#4|15#5|5#7|25#8|32#10|20#9|19
56525,Кошелёк женский 261 black,Удобный и практичный женский кошелёк. Имеет несколько внутренних отделений для купюр и кармашки для пластиковых карт.,137,(24)(1A.4) Кошелёк женский 261 black,true,7,https://clutches.com.ua/wp-content/uploads/2016/09/DSC2027.jpg|https://clutches.com.ua/wp-content/uploads/2016/09/DSC2028.jpg|https://clutches.com.ua/wp-content/uploads/2016/09/DSC2029.jpg|https://clutches.com.ua/wp-content/uploads/2016/09/DSC2030.jpg,12|33#13|13#14|34#15|35#8|18#9|19
56484,Кошелёк женский 261 red,Удобный и практичный женский кошелёк. Имеет несколько внутренних отделений для купюр и кармашки для пластиковых карт.,137,(24)(1A.4) Кошелёк женский 261 red,true,7,https://clutches.com.ua/wp-content/uploads/2016/09/DSC1971.jpg|https://clutches.com.ua/wp-content/uploads/2016/09/DSC1972.jpg|https://clutches.com.ua/wp-content/uploads/2016/09/DSC1983.jpg|https://clutches.com.ua/wp-content/uploads/2016/09/DSC1989.jpg,12|33#13|13#14|34#15|35#8|36#9|19
56523,Кошелёк женский 261 blue,Удобный и практичный женский кошелёк. Имеет несколько внутренних отделений для купюр и кармашки для пластиковых карт.,137,(24)(1A.4) Кошелёк женский 261 blue,true,7,https://clutches.com.ua/wp-content/uploads/2016/09/DSC1979.jpg|https://clutches.com.ua/wp-content/uploads/2016/09/DSC1980.jpg|https://clutches.com.ua/wp-content/uploads/2016/09/DSC1987.jpg|https://clutches.com.ua/wp-content/uploads/2016/09/DSC1993.jpg,12|33#13|13#14|34#15|35#8|11#9|19
